age,gender,family_income,internet_access,study_hours_per_day,attendance_rate,assignment_delay_days,travel_time_minutes,scholarship,stress_index,cgpa,parental_education,dropout
22.1,Male,25000.0,Yes,3.36,86.1,2,20.4,No,5.5,0.9,High School,0
20.7,Male,25000.0,Yes,4.3,68.0,2,44.0,No,6.8,1.19,Bachelor,1
22.4,Male,40183.0,Yes,4.4,70.9,0,48.9,No,5.5,1.32,Master,0
24.4,Male,,Yes,,82.2,2,38.6,No,,1.77,High School,1
20.5,Female,25319.0,Yes,4.19,75.7,1,23.0,No,7.0,0.87,Bachelor,0
20.5,Male,25000.0,Yes,4.11,89.1,2,47.1,Yes,6.0,2.69,,0
24.5,Male,25000.0,Yes,3.0,78.2,1,37.4,Yes,7.3,0.44,Bachelor,0
22.7,Female,25000.0,Yes,2.12,86.4,1,34.0,Yes,6.5,1.14,High School,0
20.0,Male,57413.0,Yes,4.07,97.5,3,52.1,No,4.2,2.81,High School,0
22.2,Female,44930.0,Yes,2.98,82.2,1,19.7,No,6.7,1.73,Master,0
20.0,Female,25000.0,Yes,5.27,73.9,3,39.3,No,7.2,1.46,Bachelor,1
20.0,Male,46056.0,Yes,2.37,85.2,6,20.2,Yes,8.0,0.15,Bachelor,1
21.5,Female,50644.0,Yes,3.54,84.3,1,22.7,Yes,4.6,2.72,,0
17.0,Female,27000.0,Yes,4.2,84.0,1,61.2,Yes,4.8,2.7,Bachelor,0
17.2,Male,,Yes,,92.9,1,36.0,No,,2.92,Bachelor,0
19.8,Male,26246.0,No,3.49,72.5,2,52.2,No,7.0,3.15,Master,0
18.8,Female,28037.0,Yes,4.24,90.0,2,36.5,Yes,4.6,2.2,High School,0
21.7,Female,25000.0,Yes,4.8,77.2,0,34.8,Yes,4.3,1.78,Master,0
19.0,Female,37058.0,Yes,4.99,93.0,2,22.5,No,4.7,3.59,Bachelor,0
17.9,Male,35168.0,Yes,4.48,65.0,1,41.7,No,5.6,1.63,Bachelor,1
24.2,Female,38833.0,Yes,6.35,99.8,2,30.3,Yes,3.9,2.23,Bachelor,0
20.5,Male,35149.0,Yes,3.48,79.8,0,31.0,No,6.3,2.0,Master,0
21.1,Female,46069.0,Yes,6.25,72.3,2,26.9,Yes,2.4,3.92,Bachelor,0
17.9,Female,26700.0,Yes,4.9,89.3,3,28.8,Yes,4.0,3.04,Bachelor,0
19.8,Female,33559.0,Yes,4.32,86.1,3,30.3,No,5.8,0.43,PhD,1
21.2,Female,25000.0,Yes,4.42,85.6,2,31.5,No,3.8,3.66,Master,0
18.5,Female,25000.0,Yes,5.22,89.4,0,29.4,No,4.7,1.67,Bachelor,0
21.8,Female,66367.0,Yes,3.07,82.3,4,11.3,No,5.3,0.82,High School,0
19.7,Male,25000.0,Yes,4.19,79.7,1,36.5,No,9.3,0.76,High School,0
20.4,Female,,No,,72.7,3,28.5,No,,3.03,High School,0
19.7,Female,25000.0,Yes,6.08,81.1,7,5.0,No,5.9,3.82,Bachelor,0
25.1,Male,,Yes,,77.9,3,10.9,Yes,,2.48,Bachelor,1
21.0,Male,34785.0,Yes,6.6,81.9,2,24.3,No,3.6,3.53,PhD,0
18.7,Male,,Yes,,67.9,1,45.3,Yes,,1.65,Bachelor,0
22.8,Female,25000.0,Yes,2.19,95.9,2,37.3,Yes,5.2,0.02,Bachelor,0
18.3,Female,,Yes,,61.0,1,21.8,Yes,,0.97,Bachelor,1
21.5,Male,26034.0,No,2.9,80.9,1,27.7,Yes,7.6,1.45,Bachelor,0
17.0,Female,25000.0,Yes,6.16,78.5,0,43.3,No,4.7,3.42,High School,0
18.1,Male,77705.0,Yes,2.25,70.8,1,22.6,No,5.0,2.01,,0
21.4,Female,,Yes,,85.0,3,17.0,No,,3.55,Master,0
22.6,Male,25000.0,No,5.91,74.5,2,40.6,No,5.6,2.35,Bachelor,0
21.4,Male,41216.0,Yes,7.6,85.0,1,43.4,Yes,4.4,1.69,High School,0
20.7,Male,49772.0,Yes,3.86,95.6,6,22.7,Yes,6.7,2.71,Bachelor,0
20.3,Male,41183.0,Yes,4.15,72.1,2,35.9,Yes,8.4,2.82,High School,1
17.7,Female,25000.0,Yes,2.48,89.0,1,29.5,Yes,7.4,0.5,Master,0
19.4,Female,25682.0,Yes,3.51,69.7,2,22.9,No,7.9,1.43,Master,0
20.0,Male,25000.0,Yes,6.84,75.6,1,44.0,No,5.2,3.66,Bachelor,0
23.3,Male,25000.0,Yes,5.13,86.5,1,22.0,No,3.6,4.0,Bachelor,0
21.8,Male,25000.0,Yes,5.58,79.8,2,39.1,No,1.9,3.77,Bachelor,0
17.1,Female,27754.0,Yes,4.84,93.6,3,30.8,No,1.8,3.38,High School,0
21.7,Female,25000.0,Yes,5.39,83.0,1,27.9,No,5.1,3.94,Bachelor,0
20.2,Male,26368.0,Yes,6.52,86.2,1,23.3,No,6.4,2.65,Bachelor,0
19.5,Female,25000.0,Yes,3.41,76.5,2,18.2,No,7.0,2.05,High School,0
22.3,Male,33661.0,Yes,4.96,73.7,4,27.0,No,5.9,2.47,Master,1
23.3,Female,25000.0,Yes,3.1,72.8,0,23.9,Yes,4.2,0.0,Bachelor,1
