admission_grade,tuition_up_to_date,scholarship_holder,age,gender,approved_sem1,grade_sem1,approved_sem2,grade_sem2,target
127.3,1,0,20,1,0,0.0,0,0.0,Dropout
142.5,0,0,19,1,6,14.0,6,13.666666666666666,Graduate
124.8,0,0,19,1,0,0.0,0,0.0,Dropout
119.6,1,0,20,0,6,13.428571428571429,5,12.4,Graduate
141.5,1,0,45,0,5,12.333333333333334,6,13.0,Graduate
114.8,1,0,50,1,5,11.857142857142858,5,11.5,Graduate
128.4,1,1,18,0,7,13.3,8,14.345,Graduate
113.1,0,0,22,1,0,0.0,0,0.0,Dropout
129.3,1,1,21,0,6,13.875,6,14.142857142857142,Graduate
123.0,0,0,18,0,5,11.4,2,13.5,Dropout
130.6,1,0,18,0,6,12.333333333333334,5,14.2,Graduate
119.3,1,1,18,0,7,13.214285714285714,7,13.214285714285714,Graduate
130.2,1,0,19,0,0,0.0,0,0.0,Dropout
111.8,1,1,21,0,6,10.571428571428571,5,11.0,Graduate
137.1,1,1,18,0,4,13.25,5,12.0,Graduate
120.7,1,0,20,0,5,13.2,0,0.0,Dropout
137.4,1,0,18,0,1,12.0,2,11.0,Enrolled
127.3,1,0,18,0,7,13.30625,8,14.545,Graduate
136.3,1,0,20,0,4,12.5,4,12.25,Graduate
124.6,1,0,18,0,6,11.666666666666666,6,13.5,Enrolled
120.3,1,1,21,0,0,0.0,0,0.0,Graduate
121.8,1,0,20,0,7,11.4375,8,11.425,Enrolled
125.5,1,0,18,0,7,12.857142857142858,7,12.857142857142858,Graduate
114.9,1,1,19,0,6,13.375,6,12.285714285714286,Graduate
123.9,1,0,19,0,6,13.296666666666669,7,14.114285714285714,Graduate
157.0,1,1,18,0,5,11.6,4,11.0,Enrolled
116.4,1,0,21,0,6,11.375,6,13.285714285714286,Graduate
131.0,1,0,18,0,5,12.666666666666666,4,13.0,Enrolled
122.1,1,0,20,0,5,12.0,5,12.333333333333334,Graduate
118.8,1,0,19,1,6,12.933333333333332,6,13.716666666666669,Enrolled
150.0,1,0,21,1,5,11.857142857142858,5,10.571428571428571,Enrolled
130.0,1,0,20,1,6,12.833333333333334,4,13.4,Graduate
138.8,0,0,18,1,3,11.333333333333334,2,13.5,Enrolled
134.5,1,0,19,0,6,12.666666666666666,6,14.375,Graduate
131.4,1,0,34,1,5,12.4,5,13.428571428571429,Graduate
102.5,0,0,37,1,0,0.0,1,10.0,Dropout
128.8,1,0,43,1,0,0.0,0,0.0,Dropout
122.9,1,0,55,0,1,10.0,2,12.0,Dropout
113.9,1,0,39,0,5,11.0,5,11.6,Graduate
120.0,0,0,20,0,3,11.666666666666666,3,12.0,Dropout
121.1,1,0,18,0,4,12.75,0,0.0,Dropout
120.4,1,0,22,0,5,14.8,5,15.8,Graduate
100.6,1,0,22,0,5,13.928,7,14.342857142857142,Graduate
121.4,0,0,20,0,4,13.0,5,13.8,Dropout
109.7,1,0,29,0,0,0.0,0,0.0,Dropout
134.1,1,0,24,0,2,11.5,3,14.333333333333334,Enrolled
127.6,1,0,18,0,6,11.666666666666666,5,13.2,Graduate
132.4,1,1,22,0,6,13.516666666666666,7,13.771428571428572,Graduate
133.4,1,1,21,0,6,11.5,6,13.285714285714286,Graduate
126.1,1,1,19,0,5,12.333333333333334,6,12.833333333333334,Graduate
113.5,1,1,24,0,6,13.666666666666666,6,14.166666666666666,Graduate
121.3,1,1,19,0,6,11.833333333333334,6,11.833333333333334,Enrolled
121.8,1,1,20,0,4,14.0,3,11.0,Enrolled
159.3,1,0,19,0,5,14.714285714285714,5,15.8,Graduate
120.0,1,0,27,0,5,10.6,5,11.0,Dropout
129.1,1,0,18,0,7,13.044444444444444,8,13.595,Graduate
130.0,1,0,39,0,0,0.0,0,0.0,Dropout
155.3,1,0,27,0,5,13.0,10,12.9,Dropout
139.8,1,0,18,0,8,14.935,8,14.935,Graduate
115.2,1,0,18,0,0,0.0,0,0.0,Enrolled
114.9,1,0,18,0,6,13.133333333333333,7,12.221428571428572,Graduate
131.9,1,1,21,0,6,12.0,6,12.0,Graduate
126.0,1,1,19,1,0,0.0,0,0.0,Enrolled
130.2,1,0,19,1,5,11.4,1,10.0,Enrolled
120.9,1,0,24,1,0,0.0,0,0.0,Enrolled
126.0,1,0,29,1,5,11.9,5,11.0,Dropout
128.2,1,1,19,1,0,0.0,0,0.0,Graduate
130.0,1,0,23,1,6,12.571428571428571,6,12.428571428571429,Graduate
120.1,1,0,19,1,5,11.2,4,10.75,Dropout
100.0,1,0,26,1,6,12.0,5,10.8,Enrolled
134.0,1,0,18,1,0,0.0,0,0.0,Enrolled
130.8,1,0,24,1,7,11.975,8,13.75,Graduate
135.8,1,0,19,1,0,0.0,0,0.0,Dropout
111.7,1,0,18,1,3,11.666666666666666,1,12.0,Dropout
132.9,1,0,18,1,6,12.333333333333334,3,12.333333333333334,Graduate
115.5,1,0,18,1,3,10.333333333333334,3,10.857142857142858,Dropout
106.0,1,1,21,1,4,10.5,1,11.0,Dropout
120.3,1,1,19,1,6,13.666666666666666,6,13.333333333333334,Graduate
130.8,1,1,22,1,7,14.842857142857142,8,15.055555555555555,Graduate
117.0,1,0,33,1,6,12.0,6,11.666666666666666,Graduate
110.2,1,0,20,1,5,12.2,5,12.2,Dropout
155.7,1,0,35,1,0,0.0,0,0.0,Dropout
180.4,1,0,24,1,6,12.166666666666666,10,13.3,Dropout
125.5,1,0,18,1,5,12.0,3,11.333333333333334,Enrolled
110.0,1,0,33,0,6,11.0,5,11.0,Graduate
161.0,1,1,22,0,7,13.08,7,13.08,Graduate
100.0,1,1,25,0,4,10.5,5,11.6,Graduate
117.6,1,0,20,1,6,10.666666666666666,5,11.2,Graduate
128.7,1,0,23,1,4,14.0,5,13.8,Enrolled
112.2,1,0,18,1,2,10.0,0,0.0,Enrolled
100.8,1,0,24,1,0,0.0,0,0.0,Dropout
105.0,0,0,21,0,6,14.0,6,13.5,Graduate
100.0,1,0,26,0,2,12.0,0,0.0,Dropout
115.5,1,0,39,0,3,12.666666666666666,0,0.0,Dropout
114.0,1,0,44,0,8,11.875,6,12.333333333333334,Graduate
137.0,1,0,19,1,5,14.0,3,13.25,Enrolled
124.9,1,0,18,0,6,13.666666666666666,6,13.333333333333334,Graduate
120.3,1,1,18,0,7,13.75,8,14.47777777777778,Graduate
134.3,1,0,19,0,5,14.2,5,13.8,Enrolled
111.5,0,0,19,0,4,11.96,0,0.0,Dropout
128.8,1,0,21,0,8,12.875,5,13.4,Dropout
110.0,1,0,20,0,0,0.0,0,0.0,Graduate
113.5,1,0,36,0,0,0.0,0,0.0,Dropout
160.0,1,0,43,0,18,14.63157894736842,13,14.23076923076923,Graduate
117.4,1,0,19,0,0,0.0,0,0.0,Dropout
122.2,1,0,20,0,10,13.0,11,12.272727272727272,Graduate
118.2,1,0,19,0,0,0.0,0,0.0,Dropout
106.7,1,0,20,0,4,14.2,4,13.25,Dropout
108.2,1,0,20,0,6,13.266666666666666,5,12.3,Dropout
107.0,1,0,20,0,6,11.666666666666666,3,13.0,Enrolled
136.1,1,0,18,0,6,13.857142857142858,6,15.0,Graduate
115.3,1,1,18,0,3,13.0,3,11.0,Enrolled
139.8,1,0,19,0,5,13.4,5,12.8,Graduate
157.0,1,0,18,0,6,12.666666666666666,6,12.571428571428571,Graduate
131.0,1,0,18,0,6,12.516666666666666,6,12.516666666666666,Dropout
100.0,1,0,20,0,6,11.616666666666667,7,13.0,Enrolled
140.4,1,1,20,0,2,10.0,4,10.75,Enrolled
113.4,1,0,20,0,3,10.333333333333334,3,10.666666666666666,Enrolled
137.0,1,0,18,0,5,13.142857142857142,5,11.4,Graduate
121.8,1,0,18,0,5,12.6,5,14.0,Graduate
131.0,1,0,21,0,3,11.0,2,11.0,Dropout
118.6,1,0,19,0,5,10.8,4,11.25,Graduate
122.3,1,0,19,0,0,0.0,0,0.0,Dropout
127.9,1,1,19,0,5,12.8,5,14.2,Graduate
121.3,1,0,19,0,6,14.166666666666666,6,12.2,Graduate
117.1,1,0,19,0,5,12.1,0,0.0,Dropout
160.0,1,0,20,0,6,14.166666666666666,5,13.77777777777778,Graduate
145.3,1,1,18,0,5,12.8,5,13.4,Enrolled
122.6,1,0,18,0,6,13.0,6,13.666666666666666,Graduate
128.0,1,0,19,0,7,13.467142857142855,8,15.011111111111113,Graduate
124.9,1,1,18,0,7,13.2375,7,13.742857142857144,Dropout
123.7,1,0,18,0,6,12.333333333333334,6,13.0,Graduate
120.1,1,0,19,0,5,12.4,5,14.6,Graduate
131.7,1,0,19,0,5,14.0,0,0.0,Dropout
133.2,1,0,20,0,9,11.666666666666666,7,11.714285714285714,Graduate
109.3,0,1,19,0,5,12.0,4,12.5,Dropout
113.0,1,0,20,0,4,12.2,4,11.5,Graduate
157.9,1,1,18,0,6,14.833333333333334,6,14.833333333333334,Graduate
112.1,1,1,20,0,5,13.188,7,12.892857142857142,Enrolled
174.7,1,0,18,0,7,17.125,8,17.5875,Graduate
128.8,1,0,19,0,6,12.666666666666666,6,12.666666666666666,Graduate
110.1,1,1,19,0,6,12.666666666666666,5,12.0,Graduate
99.7,0,0,22,0,0,0.0,0,0.0,Enrolled
121.0,1,1,19,0,6,11.333333333333334,6,11.5,Graduate
131.7,1,1,19,0,7,13.605,8,12.33125,Graduate
119.1,1,1,19,0,5,12.0,5,10.8,Graduate
124.7,1,0,19,0,0,0.0,0,0.0,Dropout
117.2,1,0,20,0,5,11.2,3,11.666666666666666,Dropout
128.8,1,0,18,0,5,13.375,5,14.166666666666666,Graduate
131.5,1,1,20,0,6,13.863333333333337,7,14.178571428571429,Graduate
121.7,1,0,18,0,0,0.0,0,0.0,Enrolled
123.4,1,0,19,0,5,12.4,5,13.4,Graduate
124.7,1,0,18,0,3,12.333333333333334,5,10.833333333333334,Enrolled
132.8,1,0,18,0,6,13.333333333333334,5,11.8,Graduate
108.7,1,0,21,0,3,12.666666666666666,3,10.0,Dropout
138.1,1,0,19,0,6,12.0,4,11.5,Dropout
126.5,1,1,18,0,5,10.6,5,11.8,Graduate
127.4,1,1,18,0,6,12.25,6,11.857142857142858,Graduate
123.6,1,0,20,0,4,11.0,6,11.833333333333334,Graduate
122.0,1,1,24,0,5,11.0,5,12.6,Graduate
118.2,1,0,19,0,6,13.166666666666666,6,13.0,Dropout
123.9,1,1,18,0,7,12.855555555555554,7,12.761111111111113,Graduate
125.8,1,0,18,0,7,14.91875,8,15.355,Graduate
123.3,1,0,21,0,4,11.5,3,11.0,Dropout
124.4,1,0,19,0,5,14.2,5,14.2,Graduate
126.0,1,1,19,0,6,12.5,6,13.0,Graduate
170.0,1,0,47,0,0,0.0,0,0.0,Enrolled
121.5,1,0,19,0,5,11.666666666666666,4,11.0,Graduate
130.0,1,0,29,0,7,14.257142857142856,7,14.257142857142856,Graduate
117.0,1,0,21,0,3,12.0,2,11.333333333333334,Dropout
130.0,1,0,28,0,4,11.25,4,10.5,Enrolled
108.0,1,0,20,0,7,12.457142857142856,8,13.5625,Graduate
132.3,1,0,19,0,6,11.683333333333332,6,11.683333333333332,Graduate
148.0,1,0,26,0,3,11.666666666666666,5,12.0,Graduate
122.6,0,0,20,0,4,11.75,6,13.166666666666666,Dropout
123.0,1,1,18,0,3,11.666666666666666,4,13.5,Enrolled
102.5,1,0,27,0,5,13.2,5,12.0,Graduate
