feature,importance
numeric__burnout_score,0.9908955
numeric__mental_health_index,0.0008920766
numeric__anxiety_score,0.000831257
numeric__family_expectation,0.00076727674
categorical__gender_Male,0.00069401646
numeric__internet_usage,0.0006305509
categorical__gender_Female,0.00061945274
numeric__exam_pressure,0.0005927036
numeric__financial_risk_index,0.0005805674
numeric__lifestyle_score,0.0005767223
numeric__social_support,0.00052696787
numeric__age,0.00051853334
numeric__physical_activity,0.00051663397
numeric__stress_level,0.000493755
numeric__academic_performance,0.00045318517
numeric__stress_balance,0.00041080243
categorical__gender_Other,0.0
